Similarity Measure:	Tanimoto	 R_th 	69.0	 R:=10
nbr i 	 nbr R 	 t(min) 	 mean SM 	 STD SM: 
1	489	0.0152621825536	0.387515025773	0.209237580582
2	372	0.0254481991132	0.297076935285	0.199202765756
3	303	0.0371315638224	0.254353754952	0.193356921148
4	244	0.0461589813232	0.215990362833	0.183887414945
5	202	0.0543805996577	0.184306942737	0.171912933928
6	167	0.0641532142957	0.156164820241	0.161534209513
7	136	0.0752532482147	0.129687686318	0.150522398904
8	113	0.0930895169576	0.11444232054	0.141344071235
9	095	0.109721815586	0.100431775015	0.132402423963
10	081	0.123349046707	0.0897518759124	0.125628104291
11	069	0.148218663534	0.0785533191215	0.117086363669
12	057	0.175307114919	0.0627980303664	0.106032688477
13	050	0.227078882853	0.0511309295081	0.0958042447654
14	045	0.249804480871	0.0471635614629	0.0910946937908
15	036	0.257795850436	0.0459009454972	0.0898153366197
16	029	0.266644565264	0.0426961899036	0.0869662592434
17	024	0.280463131269	0.0405333931766	0.0848000564503
18	022	0.294987881184	0.0368259094878	0.0810689343057
19	020	0.301059031487	0.0349888381259	0.079206191996
20	019	0.304960314433	0.0334674687211	0.0776509617178
21	006	0.346225448449	0.0193209701151	0.0578235885685
